strategy,first_seen_in,novel,replicable,blocked_reason,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,reconciliation_gap,n_conditions,conditions
BAS_prop:first_s_0036,COMBINA_1027.xlsx,False,True,,prop:first_scorer_hold,Jobber,2.411,44.1,6.3,306,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.03,1,loser_runmax <= 2.42
BAS_q1_winner_0130,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_dc4196fb,q1_winner,Npc,1.493,71.3,6.2,302,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.25,1,pc_dc4196fb >= -3.8392
BAS_spec:HT_Unde_0011,COMBINA_1027.xlsx,False,True,,spec:HT_Underdog_Fade,Jobber,2.585,41,6.2,347,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.22,1,u_drift <= 1
BAS_late_lead_ho_0093,COMBINA_1027.xlsx,False,True,,late_lead_hold,Npc,1.614,66.1,6,341,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.69,1,pm_away <= 2.77
BAS_late_lead_ho_0094,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_f3e46219,late_lead_hold,Npc,1.6,66.7,5.8,358,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.92,2,u_velocity <= 0.04 AND pc_f3e46219 <= 2.261
BAS_late_lead_ho_0090,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: lead_changes_total,late_lead_hold,Npc,1.611,66.3,5.8,352,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.01,1,lead_changes_total <= 2
BAS_prop:garbage_0121,COMBINA_1027.xlsx,False,True,,prop:garbage_under,Npc,1.761,60,5.8,337,prop:garbage_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.14,1,motif_1 <= 0
BAS_q1_winner_0133,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: rk_implied_edge,q1_winner,Npc,1.463,72,5.7,336,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.36,1,rk_implied_edge >= 0.1704
BAS_prop:match_s_0151,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: spread_cover_now,prop:match_spread_cover,Vision,1.922,55.5,5.7,271,prop:match_spread_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.97,2,spread_cover_now <= 10.8231 AND price_rank_in_match >= 0.0186
BAS_dog_leading_0165,COMBINA_1027.xlsx,False,True,,dog_leading,Jobber,2.323,45,5.7,318,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.16,1,loser_runmin >= 1.28
